,subject_doc_id,visitor_uuid,also_like_doc
14955,131206225000-3c0afa79abc23091cd61ec02a6d7b468,dfcb10de3bc3aa20,130730002913-4397b6297b1de5675ca40934b85067ef
14956,131206225000-3c0afa79abc23091cd61ec02a6d7b468,dfcb10de3bc3aa20,130809165516-b24fa99f113f440899584e372cb5e1e9
14957,131206225000-3c0afa79abc23091cd61ec02a6d7b468,dfcb10de3bc3aa20,131206205341-224bae2672365618ff13bc6fcee7ece9
14958,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,100611115434-b1363f22f6f04697ae1a5def8fdd287a
14959,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,110816152915-cb89f935b00b4d35a3d0b9da95867427
14960,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,120613172239-c8ab73346c4548a589014fbd547d847e
14961,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,130328135902-fcbda71ceebd4051a356eb0f2cfcaf23
14962,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,130521090951-38dddfa7cad348ea960b119a7b8ab5be
14963,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,130724152430-1c148289f9239bedef4a1c57bccf7d21
14964,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,131224204334-29c42abc9942e84a5d576ab91035e537
14965,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,140102150315-446722fa01cba9023ba9ac38ca1c0bce
14966,131207060300-514c04222d7614da81d2a154f66cadfb,da02711140ab7e34,140303020603-adf503ffe2dbade6420e1a21e73afbd2
14967,131207083415-3aa0a03f19ffd835163182d81cb6dadf,40a2ee0d549e6ea7,130531020632-0eb683aff91e7c183db1bbc9b0287659
14968,131207083415-3aa0a03f19ffd835163182d81cb6dadf,40a2ee0d549e6ea7,140126104056-078755107e600f91f07022e094301dac
14969,131207083415-3aa0a03f19ffd835163182d81cb6dadf,40a2ee0d549e6ea7,140220181453-0f3ae1e83eda5f59402ca216fa0453a7
14970,131207083415-3aa0a03f19ffd835163182d81cb6dadf,40a2ee0d549e6ea7,140303220345-aab59f5c95e114c088222da4bbb0e46b
14971,131207083415-3aa0a03f19ffd835163182d81cb6dadf,40a2ee0d549e6ea7,140304234353-068c6e1f7edcb4b62df1e84b8d4cc6aa
14972,131207201742-fb3c1d9eb8e876386d0de49a40add78b,b1c62300af987e7e,131115213851-a0a9f20ecbe933ff1770b7ee941410d3
14973,131208000826-b5d8c8cd9e2355d479eed5d3ad3e1212,3c0b257992155c26,131223153937-571db15b5caf3bb49c3ddc0591a759c7
14974,131208000826-b5d8c8cd9e2355d479eed5d3ad3e1212,be3559b95bb135dd,131223153937-571db15b5caf3bb49c3ddc0591a759c7
14975,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,091219163833-a10058cefd2144a18153e8efe0696c5b
14976,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,111108151432-0abb5dd5442e44e2959d3d660bd4f7de
14977,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,111108152339-b3768f891cfc40e589809832bc14e13a
14978,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,130315195319-80f3e421f5314ccfbaf62071dc9f0f8a
14979,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,130409211433-2340f8c825614e528715c926f1c75359
14980,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,130410164616-e9bbd75df07d421899376deed9f9cb5a
14981,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,130819120138-5c324faa157110ed46aa55f8b525a184
14982,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,130923142630-86669455dc34f718399306d036ef4f98
14983,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,131118232040-bbcb9cc377a3897bfa3e3348b7f3a0aa
14984,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,140109033104-35d88da8bb97bf1534d0685e71500347
14985,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,140122170748-12e9551df482b03faad38dae36199cad
14986,131208014625-d32243ff4468627107fb6c786daebca2,bd5faf7f8ea39a9c,140217044855-7771cf899f4177c2503d8a478aa10af9
14987,131208030641-dcae815909c2da9a505e27880b85892b,f70bb4483893ca94,140206163512-25db0d34a17d92aa1c15215fef64ccfa
14988,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,090630132836-ba14638969934f2784894333fba2f265
14989,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,121010081834-d2d8a85b80d144dfa6272b11a64fe79f
14990,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,130328221822-afdd60c6d99a463ea3ea5cf479c19fcd
14991,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,131115204737-4907866fd8869f941a52e3ab0fd1a89b
14992,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,131130202503-e819eece034065ce1867c229d66cadb8
14993,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,131209133031-5359472e76d27568d935885df55a37e0
14994,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,140208220708-d419cf089b937cc3f3071226789e9c08
14995,131208172031-737e64efb70a968b94ade7095043c555,61936fc0eefe5056,140312051604-00000000fa1ce9c8af80e68aeda97054
14996,131208193110-cf87c5d9ee127f7138a198bf1ea74847,7b42f1b812a80e02,120608094942-e7afd371e70340f1a3d7124db600ff3a
14997,131208193110-cf87c5d9ee127f7138a198bf1ea74847,7b42f1b812a80e02,130226225231-64dbb3269763477e982f63b4ed9b2df4
